"id","name","broader","narrower","used_for","related"
"XX36703","Language - Linguistics - Vocabulary and grammar - Interrogatives","Language - Linguistics - Vocabulary and grammar","","Linguistics - Vocabulary and grammar - Interrogatives;Vocabulary and grammar - Interrogatives",""
"XX36704","Language - Linguistics - Vocabulary and grammar - Nouns and ergatives","Language - Linguistics - Vocabulary and grammar","","Vocabulary and grammar - Nouns and ergatives;Nouns and ergatives",""
"XX36705","Language - Linguistics - Vocabulary and grammar - Numbers and quantification","Language - Linguistics - Vocabulary and grammar","","Vocabulary and grammar - Numbers and quantification",""
"XX36706","Language - Linguistics - Vocabulary and grammar - Particles","Language - Linguistics - Vocabulary and grammar","","Linguistics - Vocabulary and grammar - Particles;Vocabulary and grammar - Particles",""
"XX36707","Language - Linguistics - Vocabulary and grammar - Prepositions","Language - Linguistics - Vocabulary and grammar","","Vocabulary and grammar - Prepositions;Prepositions",""
"XX36708","Language - Linguistics - Vocabulary and grammar - Pronouns","Language - Linguistics - Vocabulary and grammar","","Linguistics - Vocabulary and grammar - Pronouns;Vocabulary and grammar - Pronouns;Pronouns",""
"XX36709","Language - Linguistics - Vocabulary and grammar - Time and temporality","Language - Linguistics - Vocabulary and grammar","","Vocabulary and grammar - Time and temporality",""
"XX36710","Language - Linguistics - Vocabulary and grammar - Verbs","Language - Linguistics - Vocabulary and grammar","","Vocabulary and grammar - Verbs;Verbs",""
"XX36006","Language - Maintenance","Language","","Language maintenance;Language salvage;Language preservation","Language - Change - Loss"
"XX104084","Language - Oral communication","Language","","Oral communication",""
"XX36256","Language - Personal names","Language","","Personal names;Skin names;Surnames",""
"XX36481","Language - Semantics","Language","","Semantics","Language - Linguistics"
"XX36544","Language - Sociolinguistics","Language","","Sociolinguistics","Language - Linguistics"
"XX102078","Language - Sociolinguistics - Avoidance language","Language - Sociolinguistics","","Avoidance language;Sociolinguistics - Avoidance language;Language - Avoidance language","Social organisation - Avoidance rules - Language;Language - Sociolinguistics - Secret and special languages"
"XX102079","Language - Sociolinguistics - Ethnotaxonomy","Language - Sociolinguistics","","Ethnotaxonomy (Language);Sociolinguistics - Ethnotaxonomy","Indigenous knowledge - World view - Ethnotaxonomy"
"XX36479","Language - Sociolinguistics - Secret and special languages","Language - Sociolinguistics","","Sociolinguistics - Secret and special languages;Secret and special languages;Languages, Secret and special",""
"XX43259","Language - Texts and translations - Aboriginal to non-Aboriginal language","Language","","Texts and translations - Aboriginal to non-Aboriginal language",""
"XX43260","Language - Texts and translations - non-Aboriginal to Aboriginal language","Language","","Texts and translations - non-Aboriginal to Aboriginal language;Non-Aboriginal to Aboriginal language",""
"XX103492","Language - Translation","Language","","Translation",""
"XX36683","Language - Translation - Translating and interpreting","Language - Translation","","Translating and interpreting;Interpreting and interpreters",""
"XX36726","Language - Vocabulary","Language","","Vocabulary",""
"XX36711","Language - Vocabulary - Animal names","Language - Vocabulary","","Animal names;Vocabulary - Animal names",""
